,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
82,"[929.0000000000001, 3054.0, 7836.000000000001, 413.0]","[7836.000000000001, 3054.0, 929.0000000000001, 413.0]","[413.0, 929.0000000000001, 3054.0, 7836.000000000001]",0.0,0.0,0.0,0.0,0.0005388656877273339,7836.000000000001,413.0,7423.000000000001
83,"[3054.0, 7836.000000000001, 413.0, 5790.0]","[7836.000000000001, 5790.0, 3054.0, 413.0]","[413.0, 3054.0, 5790.0, 7836.000000000001]",0.0,0.0,0.0,0.0,0.0005388656877273339,7836.000000000001,413.0,7423.000000000001
84,"[7836.000000000001, 413.0, 5790.0, 48314.0]","[48314.0, 7836.000000000001, 5790.0, 413.0]","[413.0, 5790.0, 7836.000000000001, 48314.0]",0.0,0.0,0.0,0.0,8.350556355817206e-05,48314.0,413.0,47901.0
85,"[413.0, 5790.0, 48314.0, 4740.0]","[48314.0, 5790.0, 4740.0, 413.0]","[413.0, 4740.0, 5790.0, 48314.0]",0.0,0.0,0.0,0.0,8.350556355817206e-05,48314.0,413.0,47901.0
86,"[5790.0, 48314.0, 4740.0, 3672.0000000000005]","[48314.0, 5790.0, 4740.0, 3672.0000000000005]","[3672.0000000000005, 4740.0, 5790.0, 48314.0]",0.0,0.0,0.0,0.0,8.960172035303078e-05,48314.0,3672.0000000000005,44642.0
87,"[48314.0, 4740.0, 3672.0000000000005, 1689.0]","[48314.0, 4740.0, 3672.0000000000005, 1689.0]","[1689.0, 3672.0000000000005, 4740.0, 48314.0]",0.0,0.0,0.0,0.0,8.579088471849866e-05,48314.0,1689.0,46625.0
88,"[4740.0, 3672.0000000000005, 1689.0, 2108.0]","[4740.0, 3672.0000000000005, 2108.0, 1689.0]","[1689.0, 2108.0, 3672.0000000000005, 4740.0]",0.0,0.0,0.0,0.0,0.0013110455588331695,4740.0,1689.0,3051.0
89,"[3672.0000000000005, 1689.0, 2108.0, 602.0]","[3672.0000000000005, 2108.0, 1689.0, 602.0]","[602.0, 1689.0, 2108.0, 3672.0000000000005]",0.0,0.0,0.0,0.0,0.001302931596091205,3672.0000000000005,602.0,3070.0000000000005
90,"[1689.0, 2108.0, 602.0, 3636.0]","[3636.0, 2108.0, 1689.0, 602.0]","[602.0, 1689.0, 2108.0, 3636.0]",0.0,0.0,0.0,0.0,0.0013183915622940012,3636.0,602.0,3034.0
91,"[2108.0, 602.0, 3636.0, 4447.0]","[4447.0, 3636.0, 2108.0, 602.0]","[602.0, 2108.0, 3636.0, 4447.0]",0.0,0.0,0.0,0.0,0.0010403120936280884,4447.0,602.0,3845.0
92,"[602.0, 3636.0, 4447.0, 3417.0]","[4447.0, 3636.0, 3417.0, 602.0]","[602.0, 3417.0, 3636.0, 4447.0]",0.0,0.0,0.0,0.0,0.0010403120936280884,4447.0,602.0,3845.0
93,"[3636.0, 4447.0, 3417.0, 4473.0]","[4473.0, 4447.0, 3636.0, 3417.0]","[3417.0, 3636.0, 4447.0, 4473.0]",0.0,0.0,0.0,0.0,0.003787878787878788,4473.0,3417.0,1056.0
94,"[4447.0, 3417.0, 4473.0, 1461.0]","[4473.0, 4447.0, 3417.0, 1461.0]","[1461.0, 3417.0, 4447.0, 4473.0]",0.0,0.0,0.0,0.0,0.0013280212483399733,4473.0,1461.0,3012.0
95,"[3417.0, 4473.0, 1461.0, 2178.0]","[4473.0, 3417.0, 2178.0, 1461.0]","[1461.0, 2178.0, 3417.0, 4473.0]",0.0,0.0,0.0,0.0,0.0013280212483399733,4473.0,1461.0,3012.0
96,"[4473.0, 1461.0, 2178.0, 20.0]","[4473.0, 2178.0, 1461.0, 20.0]","[20.0, 1461.0, 2178.0, 4473.0]",0.0,0.0,0.0,0.0,0.0006737031214911295,4473.0,20.0,4453.0
97,"[1461.0, 2178.0, 20.0, 2164.0]","[2178.0, 2164.0, 1461.0, 20.0]","[20.0, 1461.0, 2164.0, 2178.0]",0.0,0.0,0.0,0.0,0.0013901760889712697,2178.0,20.0,2158.0
98,"[2178.0, 20.0, 2164.0, 3357.0]","[3357.0, 2178.0, 2164.0, 20.0]","[20.0, 2164.0, 2178.0, 3357.0]",0.0,0.0,0.0,0.0,0.0008990110878034162,3357.0,20.0,3337.0
99,"[20.0, 2164.0, 3357.0, 48373.0]","[48373.0, 3357.0, 2164.0, 20.0]","[20.0, 2164.0, 3357.0, 48373.0]",0.0,0.0,0.0,0.0,6.204372014145968e-05,48373.0,20.0,48353.0
100,"[2164.0, 3357.0, 48373.0, 2465.0]","[48373.0, 3357.0, 2465.0, 2164.0]","[2164.0, 2465.0, 3357.0, 48373.0]",0.0,0.0,0.0,0.0,8.65632236144474e-05,48373.0,2164.0,46209.0
101,"[3357.0, 48373.0, 2465.0, 6130.0]","[48373.0, 6130.0, 3357.0, 2465.0]","[2465.0, 3357.0, 6130.0, 48373.0]",0.0,0.0,0.0,0.0,8.713078330574191e-05,48373.0,2465.0,45908.0
102,"[48373.0, 2465.0, 6130.0, 4328.0]","[48373.0, 6130.0, 4328.0, 2465.0]","[2465.0, 4328.0, 6130.0, 48373.0]",0.0,0.0,0.0,0.0,8.713078330574191e-05,48373.0,2465.0,45908.0
103,"[2465.0, 6130.0, 4328.0, 1764.0]","[6130.0, 4328.0, 2465.0, 1764.0]","[1764.0, 2465.0, 4328.0, 6130.0]",0.0,0.0,0.0,0.0,0.0009161704076958314,6130.0,1764.0,4366.0
104,"[6130.0, 4328.0, 1764.0, 1445.0]","[6130.0, 4328.0, 1764.0, 1445.0]","[1445.0, 1764.0, 4328.0, 6130.0]",0.0,0.0,0.0,0.0,0.0008537886872998933,6130.0,1445.0,4685.0
105,"[4328.0, 1764.0, 1445.0, 42.0]","[4328.0, 1764.0, 1445.0, 42.0]","[42.0, 1445.0, 1764.0, 4328.0]",0.0,0.0,0.0,0.0,0.0006999533364442371,4328.0,42.0,4286.0
